PlantName,PubMed ID,Activity,Targets,Paper Title
Adransonia digitata,,antiviral,Human immunodeficiency virus type 1,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Aegle marmelos,15476301,antibacterial,Salmonella typhi,
Aesculus indica,21718504,antibacterial,Micrococcus luteus,
Aesculus indica,21718504,antibacterial,Salmonella setubal,
Aesculus indica,21718504,antibacterial,Pseudomonas pickettii,
Ageratum conyzoides,10433484,antibacterial,Alkaligens viscolactis,
Ageratum conyzoides,10433484,antibacterial,Klebsiella aerogenas,
Ageratum conyzoides,10433484,antibacterial,Bacillus cerues,
Ageratum conyzoides,10433484,antibacterial,Streptococcus pyogens,
Aglaia odorata,14638393,antiviral,phosphonoacetate-resistant HSV-1,
Aglaia odorata,14638393,antiviral,thymidine kinase-deficient HSV-1,
Aglaia odorata,,antiviral,Herpes Simplex Virus I,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Agrimonia pilosa,,antiviral,Herpes Simplex Virus I,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Ailanthus excelsa,16678369,antifungal,Candida albicans,
Ailanthus excelsa,16678369,antifungal,Saccharomyces cerevisiae,
Ailanthus excelsa,14630175,antifungal,Aspergillus niger,
Ailanthus excelsa,14630175,antifungal,Penicillium frequentence,
Ailanthus excelsa,14630175,antifungal,Botrytis cinerea,
Ailanthus excelsa,14630175,antifungal,Aspergillus fumigatus ,
Ailanthus excelsa,14630175,antifungal,Penicillium notatum,
Alangium salvifolium,16678369,antibacterial,Micrococcus luteus,
Albezzia lebbeck,16678369,antifungal,Candida albicans,
Albezzia lebbeck,16678369,antifungal,Saccharomyces cerevisiae,
Albizia anthelmintica,16571139,Antifungal,Candida albicans,
Aleurites moluccana,,antiviral,Human immunodeficiency virus type 1,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Allium cepa,8569244,antihyperglycemic,rats,
Allium cepa,20571171,Anti-mycobacterial,DKU-156,
Allium oreoprasum,18955262,antiviral,influenza virus,
Allium sativum,20442821,antibacterial,Vibrio cholerae,
Allium sativum,20442821,antibacterial,Vibrio parahaemolyticus,
Allium sativum,20571171,Anti-mycobacterial,DKU-156,
Allium sativum,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Alocasia cucullata,,antivenom,Naja naja,Anti-snake venom properties of medicinal plants
Aloe barbadensis,,antiviral,Herpes Simplex Virus I,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Aloe vera,20571171,Anti-mycobacterial,DKU-156,
Aloysia citriodora,17583499,repellent,Mosquito,
Alpinia galanga,16115104,Antifungal,Cryptococcus neoformans,
Alpinia galanga,16115104,Antifungal,Microsporum gypseum,
Alstonia macrophylla,23806072,antimalarial,Plasmodium falciparum,
Alstonia pneumatophora,20576577,anti-melanogenesis,B16 mouse melanoma cells,
Alternanthera philoxeroides Griseb,15837655,antiviral,dengue virus,
Amelanchier alnifolia,,antiviral,Corona-virus,Antiviral screening of British Columbian medicinal plants
Amethystea caerulea,21878001,Insecticidal,maize weevil,
Amethystea caerulea,21878001,Insecticidal,Drosophila melanogaster,
Amomum biflorum,23513745,antibacterial,Staphylococcus aureus,
Amomum subulatum,21695005,antibacterial,Escherichia coli,
Amomum subulatum,21695005,antibacterial,Staphylococcus aureus,
Amomum subulatum,21695005,antibacterial,Bacillus pumilus,
Amomum subulatum,21695005,antibacterial,Staphylococcus epidermidis,
Amomum subulatum,21695005,antibacterial,Pseudomonas aeruginosa,
Amomum subulatum,21695005,antifungal,Saccharomyces cerevisiae,
Andrographis Paniculata,22244370,antiviral,DENV-1,
Andrographis paniculata,15138013,antibacterial,Streptococcus mutans,
Andrographis paniculata,,antivenom,Naja  naja,Anti-snake venom properties of medicinal plants
Andrographis paniculata,,antivenom,Daboia russelli,Anti-snake venom properties of medicinal plants
Androsace strigilosa,18955262,antiviral,influenza virus,
Annona crassiflora,17019779,larvicidal,A. aegypti larvae,
Annona senegalensis,,antivenom,Naja nigricotlis,Anti-snake venom properties of medicinal plants
Annona squamosa,21808141,larvicidal,Culex tritaeniorhynchus,
Annona squamosa,21808141,larvicidal,Anopheles subpictus,
Anogeissus leiocarpus,19921259,Antiplasmodial,Plasmodium falciparum,
Anthocephalus cadamba,20161916,antibacterial,Micrococcus luteus,
Anthocephalus cadamba,20161916,antibacterial,Bacillus subtilis,
Anthocephalus cadamba,20161916,antibacterial,Staphylococcus aureus,
Anthocephalus cadamba,20161916,antibacterial,Escherichia coli,
Anthocephalus cadamba,20161916,antibacterial,Klebsiella pneumoniae,
Anthocephalus cadamba,20161916,antibacterial,Proteus mirabilis,
Anthocephalus cadamba,20161916,antibacterial,Pseudomonas aeruginosa,
Anthocephalus cadamba,20161916,antifungal,Candida albicans,
Anthocephalus cadamba,20161916,antifungal,Trichophyton rubrum,
Anthocephalus cadamba,20161916,antifungal,Aspergillus niger,
Anthocephalus cadamba,20161916,antifungal,Aspergillus flavus,
Anthocephalus cadamba,20161916,antifungal,Aspergillus nidulans,
Antidesma madagascariense,22654584,anti-?-amylase,,
Antidesma madagascariense,22654584,?-glucosidase activity,,
Aphloia theiformis,18848979,anti-malarial,Plasmodium falciparum,
Apium graveolens,15476301,antibacterial,Salmonella typhi,
Apuleia leiocarpa,,antivenom,Bothrops jaracaca,Anti-snake venom properties of medicinal plants
Araliopsis tabuensis,20161952,anti-malarial,Plasmodium falciparum,
Arctotis arctotoides,22701287,antiviral,HIV,
Ardisia chinensis,,antiviral,Coxsackie virus B3,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Ardisia squamulosa,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Ardisia squamulosa,,antiviral,Adenovirus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Areca catechu,23351780,urease inhibitory,urea amidohydrolases,
Argyreia speciosa,20336209,anticonvulsant,mice,
Arisaema flavum,21718504,antibacterial,Micrococcus luteus,
Arisaema flavum,21718504,antibacterial,Bacillus subtilis,
Arisaema flavum,21718504,antibacterial,Salmonella Setubal,
Arisaema flavum,21718504,antibacterial,Pseudomonas pickettii,
Aristolochia indica,16678369,antibacterial,Staphylococcus epidermidis,
Aristolochia indica,16678369,antibacterial,Staphylococcus aureus,
Aristolochia indica,16678369,antibacterial,Micrococcus luteus,
Aristolochia indica,16678369,antibacterial,Bordetella bronchiseptica,
Aristolochia indica,16678369,antibacterial,Bacillus subtilis,
Aristolochia indica,16678369,antibacterial,Bacillus pumilus,
Aristolochia indica,16678369,antibacterial,Bacillus cereus var mycoides,
Aristolochia indica,16678369,antibacterial,Klebsiella pneumoniae,
Aristolochia indica,16678369,antibacterial,Streptococcus faecalis,
Aristolochia indica,16678369,antifungal,Saccharomyces cerevisiae,
Aristolochia indica,16678369,antifungal,Candida albicans,
Aristolochia sp,,antivenom,Naja naja,Anti-snake venom properties of medicinal plants
Arrabidaea pulchra,23959197,antiviral,DENV-2,
Artemisia annua,16678369,antifungal,Candida albicans,
Artemisia arborescens,17894898,antiviral,HSV-1,
Artemisia arborescens,17894898,antiviral,HSV-2,
Artemisia capillaris,20428067,insecticidal,Sitophilus zeamais,
Artemisia eriopoda,22474977,insecticidal,Sitophilus zeamais,
Artemisia eriopoda,22474977,insecticidal,maize weevil,
Artemisia giraldii,22695231,insecticidal,Sitophilus zeamais,
Artemisia lavandulaefolia,20730967,Insecticidal,Sitophilus zeamais,
Artemisia mongolica,20428067,insecticidal,Sitophilus zeamais,
Artemisia roxburghiana,21527328,anti-malarial,Plasmodium falciparum,
Artemisia roxburghiana,21527328,anti-malarial,Plasmodium falciparum,
Artemisia sieversiana,20730967,Insecticidal,Sitophilus zeamais,
Artemisia subdigitata,22695231,insecticidal,Sitophilus zeamais,
Artimisai princeps var.orientalis,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Artimisai princeps var.orientalis,,antiviral,Adenovirus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Artocarpus obtusus,22614861,antibacterial,Staphylococcus aureus,
Artocarpus obtusus,22614861,antibacterial,Bacillus subtilis,
Asclepias  curassavica,,antivenom,Bothrops asper,Anti-snake venom properties of medicinal plants
Asparagus filicinus,18955262,antiviral,influenza virus,
Astilbe rivularis,18955262,antiviral,HSV-1,
Astilbe rivularis,18955262,antiviral,influenza virus,
Astilbe rivularis,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Averrhoa carambola,,anti-toothache,toothache,HIGH THERAPEUTIC POTENTIAL OF SPILANTHES ACMELLA: A REVIEW
Azadirachta indica,11808064,antibacterial,Streptococcus mutans,
Azadirachta indica,20336211,antibacterial,Enterococcus faecalis,
Baccharis genistelloides,10323492,antiviral,vesicular stomatitis virus,
Baccharis genistelloides,10323492,antiviral,HSV-1,
Baccharis spartioides,17583499,repellent,Mosquito,
Baccharis teindalensis,10190189,antiviral,vesicular stomatitis virus,
Baccharis trinervis,10190189,antiviral,HSV-1,
Balanites aegyptiaca,16571139,Antifungal,Candida albicans,
Balanites roxburghii,16678369,antifungal,Saccharomyces cerevisiae,
Balanites roxburghii,16678369,antifungal,Candida albicans,
Barleria lupulina,,anti-toothache,toothache,HIGH THERAPEUTIC POTENTIAL OF SPILANTHES ACMELLA: A REVIEW
Barringtonia acutangula,16114086,antibacterial,Bacillus subtilis,
Barringtonia acutangula,16114086,antifungal,Aspergillus niger,
Barringtonia asiatica,,antiviral,Human immunodeficiency virus type 1,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Bergenia ciliata,18955262,antiviral,HSV-1,
Bergenia ciliata,18955262,antiviral,influenza virus,
Bergenia ciliate,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Bidens pilosa,16483385,antibacterial,Bacillus cereus,
Bidens pilosa,16483385,antibacterial,Escherichia coli,
Bidens pilosa,16483385,antibacterial,Staphylococcus aureus,
Bixa orellana,16483385,antibacterial,Staphylococcus aureus,
Blumea laciniata,,antiviral,Respiratory syncytial virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Boerhaavia erecta,10433484,antibacterial,Aeromonas hydrophilla,
Boerhaavia erecta,10433484,antibacterial,Bacillus cerues,
Boerhavia diffusa,20162089,antibacterial,Pseudomonas aeruginosa,
Boerhavia diffusa,20162089,antibacterial,Escherichia coli,
Boerhavia elegans,20462416,anti-malarial,Plasmodium falciparum,
Boesenbergia pandurata,16115104,Antifungal,Cryptococcus neoformans,
Boesenbergia pandurata,16115104,Antifungal,Microsporum gypseum,
Boesenbergia rotunda,22908579,antibacterial,Staphylococcus aureus,
Boesenbergia rotunda,22908579,antibacterial,Staphylococcus epidermidis,
Boesenbergia rotunda,22908579,antibacterial,Bacillus subtilis,
Boesenbergia rotunda,22908579,antifungal,Candida albicans,
Boesenbergia rotunda,22908579,antifungal,Saccharomyces cerevisiae,
Boswellia carterii,11054840,antiviral,hepatitis C virus,
Boswellia dioscorides,15476301,antifungal,Candida maltosa,
Boswellia serrata,16678369,antibacterial,Bordetella bronchiseptica,
Boswellia socotrana,15476301,antifungal,Candida maltosa,
Bousigonia angustifolia,24417634,anticancer,human cancer cell lines,
Boussingaultia gracilis var pseudobaselloides,,antiviral,Adenovirus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Bredemeyera floribunda,,antivenom,Bothrops jaracaca,Anti-snake venom properties of medicinal plants
Brongniartia podalyriaides,,antivenom,Bothrops atros,Anti-snake venom properties of medicinal plants
Brucea javanica,20050684,Anti-tobacco mosaic virus,tobacco mosaic virus,
Brunfelsia unifora,,antivenom,Bothrops jaracaca,Anti-snake venom properties of medicinal plants
Bryophyllum pinnatum,3004181,antibacterial,Bacillus subtilis,
Bryophyllum pinnatum,3004181,antibacterial,Staphylococcus aureus,
Bryophyllum pinnatum,3004181,antibacterial,Streptococcus pyogenes,
Bryophyllum pinnatum,3004181,antibacterial,Streptococcus faecalis,
Bryophyllum pinnatum,3004181,antibacterial,Escherichia coli,
Bryophyllum pinnatum,3004181,antibacterial,Klebsiella spp,
Bryophyllum pinnatum,3004181,antibacterial,Shigella species,
Bryophyllum pinnatum,3004181,antibacterial,Serratia marcescens,
Bryophyllum pinnatum,3004181,antibacterial,Pseudomonas aeruginosa,
Buddleja  nitida,,antivenom,Bothrops asper,Anti-snake venom properties of medicinal plants
Bupleurum kaoi,,antiviral,Cytomegalovirus B1,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Butea monosperma,15476301,antibacterial,Salmonella typhi,
Byrsonima fagifolia,18761075,gastroprotective,rodents,
Byrsonima fagifolia,18761075,Antidiarrhoeal,rodents,
Byrsonima intermedia,22265748,gastroprotective,rodents,
Byrsonima intermedia,22265748,Antidiarrhoeal,rodents,
Byrsonima verbascifolia,22469769,antiviral,rotavirus,
Caesalpinia bonducella,9324003,hypolipidemic,streptozotocin -diabetic rats,
Caesalpinia bonducella,9324003,antihyperglycemic,streptozotocin -diabetic rats,
Caesalpinia pulcherrima,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Caesalpinia pulcherrima,,antiviral,Adenovirus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Calendula arvensis,1654576,Antiviral,vesicular stomatitis virus,
Calendula arvensis,1654576,antiviral,rhinovirus,
Calendula officinalis,22789794,antibacterial,Bacillus subtilis,
Calendula officinalis,22789794,antibacterial,ampicillin-resistant E. coli,
Calendula officinalis,22789794,antifungal,Aspergillus flavus,
Calendula officinalis,22789794,antifungal,Aspergillus fumigatus,
Calendula officinalis,22789794,antifungal,Aspergillus niger,
Calendula officinalis,22789794,antibacterial,Bacillus cereus,
Calendula officinalis,22789794,antibacterial,Bacillus pumilis,
Calendula officinalis,22789794,antifungal,Candida albicans,
Calendula officinalis,22789794,antifungal,Candida glabrata,
Calendula officinalis,22789794,antifungal,Candida krusei,
Calendula officinalis,22789794,antifungal,Candida parapsilosis,
Calendula officinalis,22789794,Antibacterial,Enterococcus faecalis,
Calendula officinalis,22789794,Antibacterial,Escherichia coli,
Calendula officinalis,22789794,Antibacterial,Exophiala dermatitidis,
Calendula officinalis,22789794,Antibacterial,Klebsiella aerogenes,
Calendula officinalis,22789794,Antibacterial,Klebsiella pneumoniae,
Calendula officinalis,22789794,Antibacterial,Pseudomonas aeruginosa,
Calendula officinalis,22789794,Antibacterial,Staphylococcus aureus,
Calendula officinalis,9207986,antiviral,HIV,
Calophyllum caledonicum,11842325,antifungal,Aspergillus fumigatus,
Calophyllum caledonicum,11842325,antifungal,Candida albicans,
Calotropis gigantea,16678369,antifungal,Candida albicans,
Calotropis gigantea,16678369,antifungal,Saccharomyces cerevisiae,
Calotropis gigantea,,antiviral,Human immunodeficiency virus type 1,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Calpurnia aurea,23351272,antibacterial,Salmonella typhi,
Calpurnia aurea,23351272,antibacterial,Salmonella paratyphi,
Calpurnia aurea,23351272,antibacterial,Salmonella typhimurium,
Calpurnia aurea,23351272,antibacterial,Shigella species,
Calpurnia aurea,23351272,antibacterial,Pseudomonas aeruginosa,
Calpurnia aurea,23351272,antibacterial,Staphylococcus aureus,
Calpurnia aurea,23351272,antibacterial,Escherichia coli,
Calpurnia aurea,23351272,Antidiarrhoeal,mice,
Camellia sinensis,23351780,urease inhibitory,urea amidohydrolases,
Camellia sinensis,15138013,antibacterial,Streptococcus mutans,
Camellia sinensis,22105803,antiviral,hepatitis C virus,
Camellia sinensis,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Camellia sinensis,,antiviral,Adenovirus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Camellia sinensis,,antiviral,Influenza Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Camellia sinensis,,antiviral,Influenza Virus A,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Camellia sinensis,,antiviral,Influenza Virus B,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Camellia sinensis,,antiviral,Human immunodeficiency virus type 1,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Capparis sinaica,19666102,antiviral,HSV-1,
Capsicum annuum,23351780,urease inhibitory,urea amidohydrolases,
Capsicum frutescens,23368430,antibacterial,Staphylococcus aureus,
Capsicum frutescens,23368430,antibacterial,Klebsiella pneumoniae,
Capsicum frutescens,23368430,antibacterial,Pseudomonas aeruginosa,
Carica papaya,23259718,Antisickling,human sickle cell blood,
Carissa edulis,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Carissa opaca,21718504,antibacterial,Bacillus subtilis,
Carriamine angulatu,,antiviral,herpesvirus type 1,Antiviral screening of British Columbian medicinal plants
Carthamus tinctorius,23267403,Antidiabetic,Wistar rats,
Carum copticum,15476301,antibacterial,Salmonella typhi,
Casearia sylvestris,17019779,larvicidal,A. aegypti larvae,
Casearia sylvestris,,antivenom,Bothrops jaracaca,Anti-snake venom properties of medicinal plants
Cassia alata,15138013,antibacterial,Streptococcus mutans,
Cassia alata,1468110,Antifungal,Candida albicans,
Cassia angustifolia,,antiviral,Herpes Simplex Virus I,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Cassia auriculata,19085005,larvicidal,Anopheles subpictus,
Cassia auriculata,19085005,larvicidal,Culex tritaeniorhynchus,
Cassia fistula,16678369,antifungal,Saccharomyces cerevisiae,
Cassia fistula,16678369,antibacterial,Streptococcus faecalis,
Cassia fistula,16678369,antifungal,Candida albicans,
Cassia fistula,22678414,antifungal,Candida albicans,
Cassia siamea,21967692,larvicidal,Culex quinquefasciatus,
Cassia siamea,21967692,larvicidal,Anopheles stephensi,
Cassia sophera,23608375,Anti-mycobacterial,MDR strain of M. tuberculosis,
Cassiope fastigiata,18955262,antiviral,HSV-1,
Cassiope fastigiata,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Cecropia peltata,16483385,antibacterial,Staphylococcus aureus,
Cedrela tonduzii,,antivenom,Bothrops asper,Anti-snake venom properties of medicinal plants
Celosia cristata,23351780,urease inhibitory,urea amidohydrolases,
Centella asiatica,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Ceratonia siliqua,16678369,antifungal,Candida albicans,
Ceratonia siliqua,16678369,antifungal,Saccharomyces cerevisiae,
Ceratonia siliqua,16678369,antibacterial,Streptococcus faecalis,
Ceratophyllum demersum,19205264,antibacterial,Bacillus cereus,
Ceratophyllum demersum,19205264,antibacterial,Staphylococcus aureus,
Ceratophyllum demersum,19205264,antibacterial,Erwinia carotovora,
Ceratophyllum demersum,19205264,Antifungal,Candida albicans,
Ceratophyllum demersum,19205264,Antifungal,Candida tropicalis,
Ceratophyllum demersum,19205264,Antifungal,Fusarium oxysporum,
Ceratophyllum demersum,19205264,Antifungal,Penicillium italicum,
Chaenomeles sinensis,,antiviral,Influenza Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Chaerophyllum aureum,19370887,antibacterial,Staphylococcus aureus,
Chaerophyllum aureum,19370887,antibacterial,Staphylococcus epidermidis,
Chaerophyllum aureum,19370887,antibacterial,Micrococcus luteus,
Chaerophyllum macropodum,19634338,antibacterial,Salmonella typhi,
Chaerophyllum macropodum,19634338,antibacterial,Escherichia coli,
Chenopodium ambrosioides,17174000,antifungal,Aspergillus niger,
Chenopodium ambrosioides,17174000,antifungal,Aspergillus fumigatus,
Chenopodium ambrosioides,17174000,antifungal,Botryodiplodia theobromae,
Chenopodium ambrosioides,17174000,antifungal,Fusarium oxysporum,
Chenopodium ambrosioides,17174000,antifungal,Sclerotium rolfsii,
Chenopodium ambrosioides,17174000,antifungal,Macrophomina phaseolina,
Chenopodium ambrosioides,17174000,antifungal,Cladosporium cladosporioides,
Chenopodium ambrosioides,17174000,antifungal,Helminthosporium oryzae,
Chenopodium ambrosioides,17174000,antifungal,Pythium debaryanum,
Chiococca brachiata,,antivenom,Bothrops jaracaca,Anti-snake venom properties of medicinal plantsAnti-snake venom properties of medicinal plants
Chrysanthemum indicum,21808141,larvicidal,Culex tritaeniorhynchus,
Chrysanthemum indicum,21808141,larvicidal,Anopheles subpictus,
Cichorium intybus,15476301,antibacterial,Salmonella typhi,
Cinchona officinalis,16483385,antibacterial,Staphylococcus aureus,
Cinnamomum camphora,,anti-toothache,toothache,HIGH THERAPEUTIC POTENTIAL OF SPILANTHES ACMELLA: A REVIEW
Cinnamomum cassia,23351780,urease inhibitory,urea amidohydrolases,
Cinnamomum cassia,20336211,antibacterial,Pseudomonas aeruginosa,
Cinnamomum verum,23662123,antibacterial,Streptococcus pyogenes,
Cinnamomum zeylanicum,23351780,urease inhibitory,urea amidohydrolases,
Cissampelos pariera,16678369,antifungal,Aspergillus niger,
Cissampelos pariera,16678369,antifungal,Saccharomyces cerevisiae,
Cissus quadrangularis,,antiviral,Herpes Simplex Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Cistus incanus,,antiviral,Influenza Virus,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Citharexylum macrodenium,,antivenom,Bothrops asper,Anti-snake venom properties of medicinal plants
Citrullus lanatus,,anti-toothache,toothache,HIGH THERAPEUTIC POTENTIAL OF SPILANTHES ACMELLA: A REVIEW
Citrus aurantifolia,23351780,urease inhibitory,urea amidohydrolases,
Citrus paradisi,21354229,antiviral,hepatitis C virus,
Citrus sinensis,20161952,anti-malarial,Plasmodium falciparum,
Clausena excavata,19635670,antiviral,hepatitis B virus,
Clausena excavata,19635670,antiviral,hepatitis B virus,
Clausena excavata,19635670,cytotoxic,human cancer cell lines (A549),
Clausena excavata,19635670,cytotoxic,human cancer cell lines (MCF7),
Clausena excavata,19635670,cytotoxic,human cancer cell lines (KB),
Clausena excavata,19635670,cytotoxic,human cancer cell lines (KB-VIN),
Clausena heptaphylla,23181593,antibacterial,Bacillus subtilis,
Clausena heptaphylla,23181593,antibacterial,Bacillus cereus,
Clausena heptaphylla,23181593,antibacterial,Staphylococcus aureus,
Clausena heptaphylla,23181593,antibacterial,Bacillus polymyxa,
Clausena heptaphylla,23181593,antibacterial,Bacillus megaterium,
Clausena heptaphylla,23181593,Antifungal,Aspergillus ochraceus,
Clausena heptaphylla,23181593,Antifungal,Aspergillus niger,
Clausena heptaphylla,23181593,Antifungal,Rhizopus oryzae,
Cleome gynandropsis,10433484,antibacterial,Alkaligens viscolactis,
Cleome gynandropsis,10433484,antibacterial,Klebsiella aerogenas,
Cleome gynandropsis,10433484,antibacterial,Bacillus cerues,
Cleome gynandropsis,10433484,antibacterial,Streptococcus pyogens,
Cleome viscosa,10433484,antibacterial,Aeromonas hydrophilla,
Cleome viscosa,10433484,antibacterial,Bacillus cerues,
Clermontia aborescens,,antiviral,Human immunodeficiency virus type 1,ANTIVIRAL POTENTIAL OF MEDICINAL PLANTS: AN OVERVIEW
Coccinia indica,8389127,hypoglycemic,streptozotocin -diabetic rats,
Coccinia indica,8389127,antihyperglycemic,streptozotocin -diabetic rats,
Cochlospermum tinctorium,21897665,Antiinflammatory,wistar albino rats,
Cochlospermum tinctorium,21897665,analgesic,wistar albino rats,
Cocos nucifera,,anti-toothache,toothache,HIGH THERAPEUTIC POTENTIAL OF SPILANTHES ACMELLA: A REVIEW
Codonospis ovata Benth,3832714,Anti-implantation,Rats,
combretum molle,17447394,antibacterial,EscherIchia coli,
combretum molle,17447394,antifungal,Candida albicans,
combretum molle,17447394,antibacterial,Shigella species,
Combretum molle,22016616,antibacterial,Helicobacter pylori,
Combretum molle,19921259,Antiplasmodial,Plasmodium falciparum,
