,Compoundid,phytochemical
146,"[Compound(91618002), Compound(74962739)]",asiaticoside B
147,[],cimiacemoside I
148,[Compound(14136881)],23-hydroxyursolic acid
149,[Compound(73659)],2alpha-hydroxyoleanolic acid
150,[Compound(6918774)],2alpha-hydroxyursolic acid
151,[Compound(6475119)],3beta-O-acetylursolic acid
152,[],beta-steriol
153,[],"ergosta4, 6, 8, (14), 22-tetraen-3-one"
154,[Compound(471426)],euscaphic acid
155,[],"2alpha, 3alpha, 23-trihydroxy-urs-12-en-28-oic acid"
156,[],"2alpha, 3beta, 19, 23-tetrahydroxylolean-12-en-28-oic acid"
157,[],"2alpha, 3beta, 19,23-tetra-hydroxyl-urs-12-en-oic acid"
158,[],beta-sitoserol
159,[Compound(8180)],undecanoic acid
160,[],"12-oleanene-2alpha, 3alpha, 24-triol"
161,[Compound(119034)],asiatic acid
162,[Compound(5742590)],beta-daucosterol
163,[Compound(222284)],beta-sitosterol
164,"[Compound(9064), Compound(107957)]",catechin
165,[Compound(72276)],epicatechin
166,[Compound(15098566)],isotachioside
167,[Compound(64945)],ursolic acid
168,[],"2alpha, 3alpha, 19alpha-trihydroxy-olean-12-en-28-oic acid-28-O-beta-D-glucopyranoside"
169,[Compound(21152828)],arjunetin
170,[Compound(14658050)],arjunglucoside I
171,[],glucosyl tormentate
172,[Compound(16118969)],nigaichigoside F1
173,"[Compound(76972524), Compound(49768308), Compound(14658049)]",sericoside
174,[],alkaloids
175,[Compound(222284)],beta-sitosterol
176,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
177,[],"delta(5,22) stigmasterol"
178,[],"delta(5,22) stigmasterol-3-O-beta-D-glycopyranoside"
179,[Compound(73299)],hederagenin
180,[Compound(10494)],oleanolic acid
181,[Compound(135423968)],"1',2'-dehydrotubulosine"
182,[Compound(185699)],10-O-demethylcephaeline
183,[],"2'-N-(1""-deoxy-1"" -beta-D-fructopyranosyl)cephaeline"
184,[Compound(10851977)],alangine
185,"[Compound(442161), Compound(5460435), Compound(44143717)]",alangiside
186,[Compound(442195)],cephaeline
187,[Compound(165003)],deoxytubulosine
188,[Compound(12302705)],isocephaeline
189,[Compound(165327)],isotubulosine
190,[Compound(15484573)],neocephaeline
191,[Compound(443421)],protoemetine
192,[Compound(11162971)],protoemetinol
193,[Compound(65380)],psychotrine
194,[Compound(46695)],salsoline
195,[Compound(72341)],tubulosine
196,[Compound(100976794)],platanionoside A
197,[Compound(100976795)],platanionoside B
198,[Compound(100976796)],platanionoside C
199,[Compound(10929570)],platanionoside D
200,[Compound(10994745)],platanionoside E
201,[Compound(102377948)],platanionoside F
202,[Compound(102377949)],platanionoside G
203,[Compound(11145601)],platanionoside H
204,[Compound(11763082)],platanionoside I
205,[Compound(11783680)],platanionoside J
206,[],albibrissinosides A
207,[],albibrissinosides B
208,[],3-methoxy-4-hydroxy-cinnamic aldehyde
209,[],4-hydroxyacetophen-one
210,[],"4-hydroxyl-3,5-dimethoxy-benzaldehyde"
211,[],"5-hydroxy-7,8,4'-trimethoxy-flavone"
212,[Compound(5281600)],amentoflavone
213,[Compound(126)],p-hydroxybenzaldehyde
214,[Compound(5280802)],sinapaldehyde
215,[],",5,6-trihydroxy-3,7-dimethoxyxanthone"
216,[],"1,5-dihydoxyxanthone"
217,[Compound(636851)],allanxanthone A
218,[Compound(5280794)],stigmasterol
219,[Compound(6602508)],stigmasteryl-3-O-beta-D-glucopyranoside
220,[],macrostemonoside O
221,[],macrostemonoside P
222,[],macrostemonoside Q
223,[],macrostemonoside R
224,"[Compound(10581523), Compound(73020465)]",tuberoside D
225,"[Compound(10557681), Compound(74029865)]",tuberoside E
226,"[Compound(102301955), Compound(131752634)]",tuberoside J
227,"[Compound(78200900), Compound(102301956)]",tuberoside K
228,"[Compound(102301957), Compound(131752635)]",tuberoside L
229,[Compound(6866)],"4,7-dichloro-quinoline"
230,[Compound(10207)],aloe-emodin
231,[Compound(10207)],aloe-emodin
232,[Compound(162305)],aloenin
233,[Compound(162305)],aloenin
234,[Compound(6442939)],aloenin B
235,[Compound(11098986)],aloesaponarin I
236,[Compound(11098986)],aloesaponarin I
237,[],aloesaponarin II 3-methyl ether
238,"[Compound(12305761), Compound(14989), Compound(313325), Compound(9866696), Compound(12305763), Compound(5458894), Compound(24212135), Compound(124427842), Compound(129628814)]",aloin
239,[Compound(12305761)],barbaloin
240,[Compound(689043)],caffeic acid
241,[Compound(6324923)],chrysophanein
242,[Compound(10208)],chrysophanol
243,[Compound(10208)],chrysophanol
244,[Compound(444539)],cinnamic acid
245,[Compound(5280704)],cosmosiin
246,[Compound(3220)],emodin
247,[],ethylidene-aloenin
248,[Compound(5317333)],feralolide
249,[Compound(5317333)],feralolide
250,[Compound(445858)],ferulic acid
251,[Compound(5318083)],homoplantaginin
252,[Compound(114776)],isoorientin
253,[Compound(162350)],isovitexin
254,[Compound(162350)],isovitexin
255,[Compound(5280863)],kaempferol
256,[],luteolin 7-glucuronopyranoside
257,[Compound(5280343)],quercetin 
258,[Compound(5316800)],ziganein
259,[Compound(5316800)],ziganein
260,[],ziganein-5-methyl ether
261,[],ziganein-5-methyl ether
262,[],Anthraquinons
263,[],alpinoside A
264,[Compound(50914217)],n-butyl-beta-D-fructopyranoside
265,[Compound(24882591)],alstilobanine A
266,[Compound(44561422)],alstilobanine B
267,[Compound(44561423)],alstilobanine C
268,[Compound(44561424)],alstilobanine D
269,"[Compound(44561425), Compound(102125735)]",alstilobanine E
270,"[Compound(45268837), Compound(102285565)]",alstiphyllanine A
271,"[Compound(45270514), Compound(102285566)]",alstiphyllanine B
272,"[Compound(45270515), Compound(102285567)]",alstiphyllanine C
273,[Compound(45269680)],alstiphyllanine D
274,[Compound(71665870)],alstoniaphylline A
275,[Compound(71665846)],alstoniaphylline B
276,[Compound(71665847)],alstoniaphylline C
277,[],alpneumine A
278,[],alpneumine B
279,[],alpneumine C
280,[],alpneumine D
281,[],alpneumine E
282,[Compound(46906305)],alpneumine F
283,[Compound(3039951)],alpneumine G
284,[Compound(46906334)],alpneumine H
285,[Compound(101306909)],akuammicine N-oxide
286,[Compound(101352946)],akuammiginone
287,[Compound(101678912)],echitamidine N-oxide
288,[],echitamidine-N-oxide 19-O-beta-d-glucopyranoside
289,[Compound(101352948)],echitaminic acid
290,[],N(b)-demethylalstogustine
291,[],N(b)-demethylalstogustine N-oxide
292,[Compound(94204)],24-methylenecycloartanol
293,[Compound(160608)],3beta-hydroxystigmast-5-en-7-one
294,[],3-O-(6'-O-butyl-beta-D-glucuronopyranosyl)-oleanolic acid-28-O-beta-D-glucopyranosyl ester
295,[],3-O-beta-D-glucopyranosyl (1-->3)-O-[beta-D-glucopyranosyl-oleanolic acid]-28-O-beta-D-glucuronopyranoside
296,[],"4,5-dihydroblumenol"
297,"[Compound(5281331), Compound(5315190), Compound(521229), Compound(129316877), Compound(137706369), Compound(146158993)]",alpha-spinasterol
298,[],alternanthin B
299,[Compound(222284)],beta-sitosterol
300,[Compound(176079)],calenduloside E
301,[],chikusetsusaponin IV a methyl ester
302,[Compound(13909684)],chikusetsusaponin-Iva
303,[Compound(101690)],cycloeucalenol
304,[],hederagenin 3-O-beta-D-glucuronopyranoside-6'-O-methyl ester
305,[],HN-sapoins K
306,[],"N-trans-feruloyl-3,5-dimethoxytyramine"
307,"[Compound(485707), Compound(619166), Compound(3010929), Compound(12358639)]",oleanoic acid
308,[Compound(14189384)],oleanolic acid 28-O-beta-D-glucopyranoside
309,[Compound(176079)],oleanolic acid 3-O-beta-D-glucuronopyranoside
310,[],oleanolic acid 3-O-beta-D-glucuronopyranoside-6'-O-methyl este
311,[Compound(135421897)],phaeophytin a
312,"[Compound(135398712), Compound(136706892), Compound(135409906), Compound(135421897)]",pheophytin a
313,[],philoxeroideside A
314,[],philoxeroideside B
315,[],philoxeroideside C
316,[],philoxeroideside D
317,"[Compound(5280435), Compound(5366244), Compound(145386), Compound(5320547), Compound(9018)]",phytol
318,[Compound(16736655)],alvaradoin E
319,[Compound(16736468)],alvaradoin F
320,[Compound(16736656)],alvaradoin G
321,[Compound(16736265)],alvaradoin H
322,[Compound(16736464)],alvaradoin I
323,[Compound(16736024)],alvaradoin J
324,[Compound(16736465)],alvaradoin K
325,[Compound(16736243)],alvaradoin L
326,[Compound(16736466)],alvaradoin M
327,[Compound(70678737)],alvaradoin N
328,[Compound(10208)],chrysophanol
329,[],Alkaloids
330,[Compound(72276)],(-)-epicatechin
331,[],3-glucoside
332,[Compound(1794427)],chlorogenic acid
333,[],hydroxybenzoic acids
334,[Compound(5281643)],Quercetin 3-galactoside
335,[Compound(332)],4-vinylguaiacol
336,[],acetoanisole
337,[Compound(3314)],eugenol
338,[Compound(6549)],linalool
339,[],morrilol
340,[],?-caryophyllene
341,[Compound(11604108)],(-)-syringaresinol
342,[Compound(332427)],(+)-lariciresinol
343,[Compound(7469)],1-(4-hydroxyphenyl) ethanone
344,[Compound(5742590)],beta-daucosterol
345,[Compound(222284)],beta-sitosterol
346,[Compound(5280462)],blumenol A
347,"[Compound(14135402), Compound(14135401), Compound(25755221)]",blumenol B
348,[Compound(5280372)],coniferin
349,[Compound(7420)],m-hydroxybenzoic acid
350,[Compound(5316860)],syringin
351,"[Compound(442343), Compound(1549992), Compound(10586), Compound(1201551), Compound(6506009)]",alpha-bisabolol
352,[Compound(5281520)],alpha-humulene
353,[Compound(6616)],camphene
354,"[Compound(11826112), Compound(12305858), Compound(5366102), Compound(6433191), Compound(86289515)]",ambrein
355,[Compound(161557)],ampelopsin
356,[Compound(161557)],ampelopsin
357,[Compound(222284)],beta-sitosterol
358,[Compound(222284)],beta-sitosterol
359,"[Compound(439533), Compound(471), Compound(10185), Compound(12309272)]",dihydroquercetin
360,[Compound(370)],gallic acid
361,[Compound(5281672)],myricetin
362,[Compound(5281672)],myricetin
363,[Compound(5281673)],myricitrin
364,[Compound(5281673)],myricitrin
365,[Compound(5280794)],stigmasterol
366,[Compound(222284)],beta-sitosterol
367,"[Compound(9064), Compound(107957)]",catechin
368,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
369,[Compound(259846)],lupeol
370,[Compound(985)],palmitic acid
371,[Compound(5988)],sucrose
372,[],Alkaloides
373,[Compound(5315606)],1-O-caffeoylglycerol
374,[],1-O-p-coumaroylglycerol
375,[],ananasate
376,[Compound(222284)],beta-sitosterol
377,[Compound(689043)],caffeic acid
378,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
379,[Compound(637542)],p-coumaric acid
380,[],"(2S)-5,7,2',3',4'-pentamethoxyflavanone"
381,"[Compound(5708351), Compound(4262071), Compound(6051497), Compound(9905648), Compound(44583846), Compound(137705769), Compound(146158882)]","14-deoxy-11,12-didehydroandrographolide"
382,[Compound(10948318)],"5-hydroxy-7,8,2',5'-tetramethoxyflavone"
383,[],7-O-methyldihydrowogonin
384,[Compound(188316)],7-O-methylwogonin
385,[Compound(11666871)],andrograpanin
386,[],echioidinin 2'-O-beta-d-(6' '-O-acetyl) glucopyranoside
387,[Compound(5320399)],skullcapflavone I
388,[Compound(5318506)],skullcapflavone I 2'-methyl ether
389,[],"(2R)-5-hydroxy-7,8-dimethoxyflavanone-5-O-beta-D-glucopyranoside"
390,[Compound(44575259)],12S-hydroxyandrographolide
391,[],"14-deoxy-11, 12-didehydroandrographiside"
392,[],"14-deoxy-11, 12-didehydroandrographolide"
393,"[Compound(44575271), Compound(75048859), Compound(133561876), Compound(137705670)]","14-deoxy-11,12-didehydroandrographiside"
394,"[Compound(5708351), Compound(4262071), Compound(6051497), Compound(9905648), Compound(44583846), Compound(137705769), Compound(146158882)]","14-deoxy-11,12-didehydroandrographolide"
395,"[Compound(11631693), Compound(73035890), Compound(138114036), Compound(146160018)]",14-deoxy-17-hydroxyandrographolide
396,[],14-deoxy-andrographolide
397,[],"19-hydroxy-8 (17), 13-labdadien-15, 16-olide"
398,[],"19-O-[beta-D-apiofuranosyl(1-->2)-beta-D-glucopyranoyl]-3,14-dideoxyandrographolide"
399,[],"2'-hydroxy-5, 7, 8-trimethoxyflavone"
400,[],"3, 14-di-deoxyandrographolide"
401,[Compound(11576609)],"3-O-beta-D-glucopyranosyl-14,19-dideoxyandrographolide"
402,[Compound(11519131)],3-O-beta-d-glucopyranosylandrographolide
403,[],"3-O-beta-D-glucosyl-14-deoxy-11,12-didehydroandrographiside"
404,[],3-O-beta-D-glucosyl-14-deoxyandrographiside
405,[],3-oxo-14-deoxy-andrographolide
406,[Compound(5374604)],4-hydroxy-2-methoxycinnamaldehyde
407,[],"5, 2', 6'-trihydroxy-7-methoxyflavone 2'-O-beta-D-glucopyranoside"
408,[],"5, 2'-dihydroxy-7, 8-dimethoxyflavone"
409,[],"5, 2'-dihydroxy-7, 8-dimethoxyflavone 2'-O-beta-D-glucopyranoside"
410,[],"5, 2'-dihydroxy-7, 8-dimethoxyflvone"
411,[],"5, 3'-dihydroxy-7, 8, 4'-trimethoxyflavone"
412,[],"5, 4'-dihydroxy-7, 8, 2', 3'-tetramethoxyflavone"
413,[],"5, 4'-dihydroxy-7, 8, 2', 3'-tetramethoxyflavone"
414,[],"5, 5'-dihydroxy-7, 8, 2'-trimetroxyflavone"
415,[],"5, 7, 3', 4'-tetrahydroxyflavone"
416,[],"5, 7, 4'-trihydroxyflavone"
417,[],"5, 7, 8, 2'-tetramethoxyflavone"
418,[],"5, 7, 8-trimethoxydihydroflavone"
419,[],"5-hydroxy-7, 8, 2', 3', 4'-pentamethoxyflavone"
420,[],"5-hydroxy-7, 8, 2', 3'-tetramethoxyflavone"
421,[],"5-hydroxy-7, 8, 2', 3'-tetramethoxyflavone"
422,[],"5-hydroxy-7, 8, 2', 5'-tetramethoxyflavone"
423,[],"5-hydroxy-7, 8, 2', 5'-tetramethoxy-flavone"
424,[],"5-hydroxy-7, 8, 2', 6'-tetramethoxyflavone"
425,[],"5-hydroxy-7, 8, 2'-trimethoxyflavone"
426,[],"5-hydroxy-7, 8-dimethoxyflavanone"
427,[],"5-hydroxy-7, 8-dimethoxyflavone"
428,[Compound(16215023)],"5-hydroxy-7,8,2',5'-tetramethoxy-flavone-5-O-beta-D-glucopyranoside"
429,[Compound(16215025)],"5-hydroxy-7,8-dimethoxy (2R)-flavanone-5-O-beta-D-glucopyranoside"
430,"[Compound(494583), Compound(21604822)]",6-epi-8-O-acetylharpagide
431,[],"7,8-dimethoxy-2'-hydroxy-5-O-?-d-glucopyranosyloxyflavone"
432,[],7-O-methyldihydrowogonin
433,[Compound(188316)],7-O-methylwogonin
434,"[Compound(443024), Compound(4486984), Compound(45482321), Compound(137704766)]",acanthoside B
435,[Compound(11666871)],andrograpanin
436,[Compound(11533372)],andrographatoside
437,[Compound(16215024)],andrographic acid
438,[Compound(13963762)],andrographidine A
439,[Compound(13963762)],andrographidine A
440,[],andrographidine B
441,"[Compound(5318484), Compound(13963766)]",andrographidine C
442,"[Compound(5318484), Compound(13963766)]",andrographidine C
443,[],andrographidine G
444,[],Andrographidoids A
445,[],Andrographidoids B
446,[],Andrographidoids C
447,[],Andrographidoids D
448,[],Andrographidoids E
449,"[Compound(44593583), Compound(4128470), Compound(6439612), Compound(101652156), Compound(138113850)]",andrographiside
450,"[Compound(44593583), Compound(4128470), Compound(6439612), Compound(101652156), Compound(138113850)]",andrographiside
451,[Compound(5318517)],andrographolide
452,[Compound(5318517)],andrographolide
453,[Compound(5318517)],andrographolide
454,[Compound(44575270)],andropanoside
455,[Compound(5742590)],beta-daucosterol
456,[Compound(222284)],beta-sitosterol
457,[Compound(95224650)],curvifloruside F
458,[Compound(95224650)],curvifloruside F
459,[],deoxyandrographiside
460,[],dihydroneobaicalein
461,[Compound(12098358)],dihydroskullcapflavone
462,"[Compound(343585), Compound(11078630)]",isoandrographolide
463,"[Compound(9848024), Compound(129316903)]",neoandrographiside
464,[Compound(9848024)],neoandrographolide
465,[Compound(9848024)],neoandrographolide
466,[Compound(10494)],oleanolic acid
467,[Compound(21604824)],procumbide
468,[],procumboside
469,[],skullcapflavone-2'-methoxylether
470,[Compound(444539)],trans-cinnamic acid
471,[Compound(12444943)],wightin
472,[Compound(10948318)],"5-hydroxy-7,8,2',5'-tetramethoxyflavone"
473,[Compound(5318506)],"5-hydroxy-7,8,2'-trimethoxyflavone"
474,[Compound(188316)],"5-hydroxy-7,8-dimethoxyflavone"
475,[Compound(9996718)],"(2R)-5-hydroxy-7,2',3'-trimethoxyflavanone"
476,[Compound(10946502)],"5,2',6'-trihydroxy-7-methoxyflavone"
477,[Compound(44257613)],"5,2',6'-trihydroxy-7-methoxyflavone 2'-O-glucoside"
478,[Compound(11772234)],"5,7,2',3'-tetramethoxyflavone"
479,[Compound(67025611)],"5,7,2',4',5'-pentamethoxyflavone"
480,[Compound(5322103)],"5,7,2'-trimethoxyflavone"
481,[Compound(10913533)],"5-hydroxy-7,2'-dimethoxyflavone"
482,[Compound(11255399)],"7,2',5'-trimethoxyflavone"
483,[Compound(44257608)],echioidin
484,[Compound(15559079)],echioidinin
485,[Compound(44257610)],echioidinin 5-O-glucoside
486,[],beta-D-glucosyl-columbianetin
487,"[Compound(92201), Compound(150888), Compound(442104)]",columbianetin
488,[],columbianin
489,[Compound(26305)],nodakenetin
490,[],sec. -O-beta-D- glucopyranosyl-(R) -byakangelicin
491,[],tert. -O-beta-D- glucopyranosyl -®-by-akangelicin
492,[Compound(5281426)],umbelliferone
493,[],beta-D-glucopyranosyl-(3R)-hydroxybutanolide
494,[Compound(222284)],beta-sitosterol
495,[Compound(444539)],cinnamic acid
496,[Compound(162464)],cirsilineol
497,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
498,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
499,[Compound(445858)],ferulic acid
500,[],methyl 4-beta-D-glucopyranosyl-hutanoate
501,[],o-hydroxy phenol
502,[Compound(985)],palmitic acid
503,[Compound(126)],p-hydroxy benzaldehyde
504,[Compound(126)],p-Hydroxybenzaldehyde
505,[Compound(5280343)],quercetin
506,[Compound(5281)],stearic acid
507,[Compound(1110)],succinic acid
508,[],"3',4',7-trimethoxy-3, 5-dihydroxyflavone"
509,[],3-methoxyl-p-hydroxybenzaldehlde
510,[Compound(222284)],beta-sitosterol
511,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
512,[Compound(445858)],ferulic acid
513,[],isorhamnetin-3-O-beta-D-rutinoside
514,[Compound(246983)],lanosterol
515,[Compound(10494)],oleanolic acid
516,[Compound(126)],p-hydroxybenzaldehyde
517,[Compound(5280805)],rutin
518,[],alkaloids
519,[],sesquiterpenes glycoside
520,[],"3?,6?,19?,24-tetrahydroxyurs-12-en-28-oic acid"
521,"[Compound(21723831), Compound(398038), Compound(3085067), Compound(134716644)]",cadambine
522,[Compound(20055826)],clethric acid
523,[],clethric acid-28-O-?-d-glucopyranosyl ester
524,[Compound(73299)],hederagenin
525,[],mussaendoside I
526,[],mussaendoside T
527,[Compound(64945)],ursolic acid
528,[],?-stigmasterol
529,[],Alkaloids
530,[],Leucoanthocyanin
531,[Compound(5282166)],baimaside
532,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
533,"[Compound(5281643), Compound(90657624)]",hyperin
534,[],hyperroside
535,[Compound(5280804)],isoquercetin
536,[],isoquercetin-6'-o-acetate
537,[Compound(5280863)],kaempferol
538,[],kaempferol-3-O-beta-D-glucoside
539,[Compound(5280343)],quercetin
540,[Compound(25203368)],quercetin-3-O-beta-D-glucoside
541,[Compound(5282149)],trifolin
542,[Compound(8468)],vanillic acid
543,[Compound(5280863)],kaempferol
544,[],"kaempferol-3-O-(6""-O-acetyl)-beta-D-glucopyranoside"
545,[],kaempferol-7-O-alpha-L-rhamnopyranoside
546,[Compound(5280343)],quercetin
547,[],"quercetin-3-O-(6""-O-acetyl )-beta-D-glucopyranoside"
548,[],"quercetin-3-O-(6""-O-acetyl)-beta-D-galactopyranoside"
549,[Compound(222284)],beta-sitosterol
550,[Compound(72193669)],isoorientin-7-O-glucoside
551,[Compound(23844078)],isovitexin-2'-O-rhamnoside
552,[],isovitexin-4'-O-glucoside
553,[Compound(5280637)],luteolin-7-O-glucoside
554,[],"3 beta-hydroxy-oleana-11, 13(18)-dien-28-oic acid"
555,[],3-oxo-oleana-12-en-28-oic acid
556,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
557,[Compound(10494)],oleanolic acid
558,[Compound(64981)],arctigenin
559,[Compound(100528)],arctiin
560,"[Compound(5742590), Compound(296119), Compound(45358119), Compound(137705755), Compound(71628), Compound(5458359), Compound(12309072), Compound(129316834)]",daucosterol
561,[],lappaol
