"","chemicals"
"296","3-O-beta-D-glucopyranosyl (1-->3)-O-[beta-D-glucopyranosyl-oleanolic acid]-28-O-beta-D-glucuronopyranoside"
"297","4,5-dihydroblumenol"
"298","alpha-spinasterol"
"299","alternanthin B"
"300","beta-sitosterol"
"301","calenduloside E"
"302","chikusetsusaponin IV a methyl ester"
"303","chikusetsusaponin-Iva"
"304","cycloeucalenol"
"305","hederagenin 3-O-beta-D-glucuronopyranoside-6'-O-methyl ester"
"306","HN-sapoins K"
"307","N-trans-feruloyl-3,5-dimethoxytyramine"
"308","oleanoic acid"
"309","oleanolic acid 28-O-beta-D-glucopyranoside"
"310","oleanolic acid 3-O-beta-D-glucuronopyranoside"
"311","oleanolic acid 3-O-beta-D-glucuronopyranoside-6'-O-methyl este"
"312","phaeophytin a"
"313","pheophytin a"
"314","philoxeroideside A"
"315","philoxeroideside B"
"316","philoxeroideside C"
"317","philoxeroideside D"
"318","phytol"
"319","alvaradoin E"
"320","alvaradoin F"
"321","alvaradoin G"
"322","alvaradoin H"
"323","alvaradoin I"
"324","alvaradoin J"
"325","alvaradoin K"
"326","alvaradoin L"
"327","alvaradoin M"
"328","alvaradoin N"
"329","chrysophanol"
"330","Alkaloids"
"331","(-)-epicatechin"
"332","3-glucoside"
"333","chlorogenic acid"
"334","hydroxybenzoic acids"
"335","Quercetin 3-galactoside"
"336","4-vinylguaiacol"
"337","acetoanisole"
"338","eugenol"
"339","linalool"
"340","morrilol"
"341","?-caryophyllene"
"342","(-)-syringaresinol"
"343","(+)-lariciresinol"
"344","1-(4-hydroxyphenyl) ethanone"
"345","beta-daucosterol"
"346","beta-sitosterol"
"347","blumenol A"
"348","blumenol B"
"349","coniferin"
"350","m-hydroxybenzoic acid"
"351","syringin"
"352","alpha-bisabolol"
"353","alpha-humulene"
"354","camphene"
"355","ambrein"
"356","ampelopsin"
"357","ampelopsin"
"358","beta-sitosterol"
"359","beta-sitosterol"
"360","dihydroquercetin"
"361","gallic acid"
"362","myricetin"
"363","myricetin"
"364","myricitrin"
"365","myricitrin"
"366","stigmasterol"
"367","beta-sitosterol"
"368","catechin"
"369","daucosterol"
"370","lupeol"
"371","palmitic acid"
"372","sucrose"
"373","Alkaloides"
"374","1-O-caffeoylglycerol"
"375","1-O-p-coumaroylglycerol"
"376","ananasate"
"377","beta-sitosterol"
"378","caffeic acid"
"379","daucosterol"
"380","p-coumaric acid"
"381","(2S)-5,7,2',3',4'-pentamethoxyflavanone"
"382","14-deoxy-11,12-didehydroandrographolide"
"383","5-hydroxy-7,8,2',5'-tetramethoxyflavone"
"384","7-O-methyldihydrowogonin"
"385","7-O-methylwogonin"
"386","andrograpanin"
"387","echioidinin 2'-O-beta-d-(6' '-O-acetyl) glucopyranoside"
"388","skullcapflavone I"
"389","skullcapflavone I 2'-methyl ether"
"390","(2R)-5-hydroxy-7,8-dimethoxyflavanone-5-O-beta-D-glucopyranoside"
"391","12S-hydroxyandrographolide"
"392","14-deoxy-11, 12-didehydroandrographiside"
"393","14-deoxy-11, 12-didehydroandrographolide"
"394","14-deoxy-11,12-didehydroandrographiside"
"395","14-deoxy-11,12-didehydroandrographolide"
"396","14-deoxy-17-hydroxyandrographolide"
"397","14-deoxy-andrographolide"
"398","19-hydroxy-8 (17), 13-labdadien-15, 16-olide"
"399","19-O-[beta-D-apiofuranosyl(1-->2)-beta-D-glucopyranoyl]-3,14-dideoxyandrographolide"
"400","2'-hydroxy-5, 7, 8-trimethoxyflavone"
"401","3, 14-di-deoxyandrographolide"
"402","3-O-beta-D-glucopyranosyl-14,19-dideoxyandrographolide"
"403","3-O-beta-d-glucopyranosylandrographolide"
"404","3-O-beta-D-glucosyl-14-deoxy-11,12-didehydroandrographiside"
"405","3-O-beta-D-glucosyl-14-deoxyandrographiside"
"406","3-oxo-14-deoxy-andrographolide"
"407","4-hydroxy-2-methoxycinnamaldehyde"
"408","5, 2', 6'-trihydroxy-7-methoxyflavone 2'-O-beta-D-glucopyranoside"
"409","5, 2'-dihydroxy-7, 8-dimethoxyflavone"
"410","5, 2'-dihydroxy-7, 8-dimethoxyflavone 2'-O-beta-D-glucopyranoside"
"411","5, 2'-dihydroxy-7, 8-dimethoxyflvone"
"412","5, 3'-dihydroxy-7, 8, 4'-trimethoxyflavone"
"413","5, 4'-dihydroxy-7, 8, 2', 3'-tetramethoxyflavone"
"414","5, 4'-dihydroxy-7, 8, 2', 3'-tetramethoxyflavone"
"415","5, 5'-dihydroxy-7, 8, 2'-trimetroxyflavone"
"416","5, 7, 3', 4'-tetrahydroxyflavone"
"417","5, 7, 4'-trihydroxyflavone"
"418","5, 7, 8, 2'-tetramethoxyflavone"
"419","5, 7, 8-trimethoxydihydroflavone"
"420","5-hydroxy-7, 8, 2', 3', 4'-pentamethoxyflavone"
"421","5-hydroxy-7, 8, 2', 3'-tetramethoxyflavone"
"422","5-hydroxy-7, 8, 2', 3'-tetramethoxyflavone"
"423","5-hydroxy-7, 8, 2', 5'-tetramethoxyflavone"
"424","5-hydroxy-7, 8, 2', 5'-tetramethoxy-flavone"
"425","5-hydroxy-7, 8, 2', 6'-tetramethoxyflavone"
"426","5-hydroxy-7, 8, 2'-trimethoxyflavone"
"427","5-hydroxy-7, 8-dimethoxyflavanone"
"428","5-hydroxy-7, 8-dimethoxyflavone"
"429","5-hydroxy-7,8,2',5'-tetramethoxy-flavone-5-O-beta-D-glucopyranoside"
"430","5-hydroxy-7,8-dimethoxy (2R)-flavanone-5-O-beta-D-glucopyranoside"
"431","6-epi-8-O-acetylharpagide"
"432","7,8-dimethoxy-2'-hydroxy-5-O-?-d-glucopyranosyloxyflavone"
"433","7-O-methyldihydrowogonin"
"434","7-O-methylwogonin"
"435","acanthoside B"
"436","andrograpanin"
"437","andrographatoside"
"438","andrographic acid"
"439","andrographidine A"
"440","andrographidine A"
"441","andrographidine B"
"442","andrographidine C"
"443","andrographidine C"
"444","andrographidine G"
"445","Andrographidoids A"
"446","Andrographidoids B"
"447","Andrographidoids C"
"448","Andrographidoids D"
"449","Andrographidoids E"
"450","andrographiside"
"451","andrographiside"
"452","andrographolide"
"453","andrographolide"
"454","andrographolide"
"455","andropanoside"
"456","beta-daucosterol"
"457","beta-sitosterol"
"458","curvifloruside F"
"459","curvifloruside F"
"460","deoxyandrographiside"
"461","dihydroneobaicalein"
"462","dihydroskullcapflavone"
"463","isoandrographolide"
"464","neoandrographiside"
"465","neoandrographolide"
"466","neoandrographolide"
"467","oleanolic acid"
"468","procumbide"
"469","procumboside"
"470","skullcapflavone-2'-methoxylether"
"471","trans-cinnamic acid"
"472","wightin"
"473","5-hydroxy-7,8,2',5'-tetramethoxyflavone"
"474","5-hydroxy-7,8,2'-trimethoxyflavone"
"475","5-hydroxy-7,8-dimethoxyflavone"
"476","(2R)-5-hydroxy-7,2',3'-trimethoxyflavanone"
"477","5,2',6'-trihydroxy-7-methoxyflavone"
"478","5,2',6'-trihydroxy-7-methoxyflavone 2'-O-glucoside"
"479","5,7,2',3'-tetramethoxyflavone"
"480","5,7,2',4',5'-pentamethoxyflavone"
"481","5,7,2'-trimethoxyflavone"
"482","5-hydroxy-7,2'-dimethoxyflavone"
"483","7,2',5'-trimethoxyflavone"
"484","echioidin"
"485","echioidinin"
"486","echioidinin 5-O-glucoside"
"487","beta-D-glucosyl-columbianetin"
"488","columbianetin"
"489","columbianin"
"490","nodakenetin"
"491","sec. -O-beta-D- glucopyranosyl-(R) -byakangelicin"
"492","tert. -O-beta-D- glucopyranosyl -®-by-akangelicin"
"493","umbelliferone"
"494","beta-D-glucopyranosyl-(3R)-hydroxybutanolide"
"495","beta-sitosterol"
"496","cinnamic acid"
"497","cirsilineol"
"498","daucosterol"
"499","daucosterol"
"500","ferulic acid"
"501","methyl 4-beta-D-glucopyranosyl-hutanoate"
"502","o-hydroxy phenol"
"503","palmitic acid"
"504","p-hydroxy benzaldehyde"
"505","p-Hydroxybenzaldehyde"
"506","quercetin"
"507","stearic acid"
"508","succinic acid"
"509","3',4',7-trimethoxy-3, 5-dihydroxyflavone"
"510","3-methoxyl-p-hydroxybenzaldehlde"
"511","beta-sitosterol"
"512","daucosterol"
"513","ferulic acid"
"514","isorhamnetin-3-O-beta-D-rutinoside"
"515","lanosterol"
"516","oleanolic acid"
"517","p-hydroxybenzaldehyde"
"518","rutin"
"519","alkaloids"
"520","sesquiterpenes glycoside"
"521","3?,6?,19?,24-tetrahydroxyurs-12-en-28-oic acid"
"522","cadambine"
"523","clethric acid"
"524","clethric acid-28-O-?-d-glucopyranosyl ester"
"525","hederagenin"
"526","mussaendoside I"
"527","mussaendoside T"
"528","ursolic acid"
"529","?-stigmasterol"
"530","Alkaloids"
"531","Leucoanthocyanin"
"532","baimaside"
"533","daucosterol"
"534","hyperin"
"535","hyperroside"
"536","isoquercetin"
"537","isoquercetin-6'-o-acetate"
"538","kaempferol"
"539","kaempferol-3-O-beta-D-glucoside"
"540","quercetin"
"541","quercetin-3-O-beta-D-glucoside"
"542","trifolin"
"543","vanillic acid"
"544","kaempferol"
"545","kaempferol-3-O-(6""-O-acetyl)-beta-D-glucopyranoside"
"546","kaempferol-7-O-alpha-L-rhamnopyranoside"
"547","quercetin"
"548","quercetin-3-O-(6""-O-acetyl )-beta-D-glucopyranoside"
"549","quercetin-3-O-(6""-O-acetyl)-beta-D-galactopyranoside"
"550","beta-sitosterol"
"551","isoorientin-7-O-glucoside"
"552","isovitexin-2'-O-rhamnoside"
"553","isovitexin-4'-O-glucoside"
"554","luteolin-7-O-glucoside"
"555","3 beta-hydroxy-oleana-11, 13(18)-dien-28-oic acid"
"556","3-oxo-oleana-12-en-28-oic acid"
"557","daucosterol"
"558","oleanolic acid"
"559","arctigenin"
"560","arctiin"
"561","daucosterol"
"562","lappaol"
"563","matairesinol"
"564","neoarctin B"
"565","alkaloids"
"566","Alkaloids"
"567","3-hydroxynornuciferine"
"568","artabotrine"
"569","assimilobine"
"570","isococlaurine"
"571","juzirine"
"572","liridine"
"573","N-demethylarmepavine"
"574","spinosine"
"575","(E)-beta-farnesene"
"576","1,8-cineole"
"577","1-epi-cubenol"
"578","beta-caryophyllene"
"579","camphor"
"580","germacrene D"
"581","linalool"
"582","1,8-cineole"
"583","camphor"
"584","germacrene D"
"585","1-methoxy-4-(2-Propenyl)-benzene"
"586","1R-alpha-pinene"
"587","1S-alpha-pinene"
"588","3,7-dimethyl-1,3,7-octatriene"
"589","limonene"
"590","eucalyptol"
"591","germacrene D"
"592","(Z)-?-ocimene"
"593","4-terpineol"
"594","germacrene D"
"595","iso-elemicin"
"596","?-pinene"
"597","beta-farnesene"
"598","beta-thujone"
"599","caryophyllene"
"600","eucalyptol"
"601","alpha-pinene"
"602","gamma-terpinene"
"603","germacrene D"
"604","borneol"
"605","camphor"
"606","eucalyptol"
"607","geranyl butyrate"
"608","1,8-Cineole"
"609","?-curcumene"
"610","dihydroartoindonesianin C"
"611","pyranocycloartobiloxanthone A"
"612","gramniphenols C"
"613","gramniphenols D"
"614","gramniphenols E"
"615","gramniphenols F"
"616","gramniphenols G"
"617","alkaloids"
"618","betulinic acid"
"619","oroxindin"
"620","wogonin"
"621","Alkaloid"
"622","beta-tocopherol"
"623","ergosterol"
"624","hexadeconic acids"
"625","hexadeconic acids methyl esters"
"626","lanosterol"
"627","lupeol"
"628","octadecadienoic acids"
"629","octadecatrienoic acid"
"630","phytol"
"631","stigmasterol"
"632","tubeimoside I"
"633","tubeimoside II"
"634","tubeimoside III"
"635","tubeimoside IV"
"636","(+/-)-lyoniresinol 2a-O-beta-D-glucopyranoside"
"637","lupenone"
"638","opuntiol"
"639","shamiminol"
"640","stigmasta-3,5-diene"
"641","flavonoids"
"642","angustifonine A"
"643","angustifonine B"
"644","bridelionoside A"
"645","bridelionoside B"
"646","bridelionoside C"
"647","bridelionoside D"
"648","bridelionoside E"
"649","bridelionoside F"
"650","brucein D"
"651","brucein E"
"652","bruceoside B"
"653","javanicoside I"
"654","javanicoside J"
"655","javanicoside K"
"656","javanicoside K"
"657","yadanzigan"
"658","yadanzioside B"
"659","yadanzioside C"
"660","yadanzioside E"
"661","yadanzioside I"
"662","yadanzioside K"
"663","bruceantinoside A"
"664","brucein D"
"665","brucein E"
"666","bruceoside A"
"667","bruceoside B"
"668","bruceoside C"
"669","bruceoside E"
"670","brusatol"
"671","javanicolide C"
"672","javanicolide D"
"673","javanicolide E"
"674","javanicolide F"
"675","javanicoside B"
"676","javanicoside C"
"677","javanicoside D"
"678","javanicoside E"
"679","javanicoside F"
"680","yadanziolide A"
"681","yadanziolide C"
"682","yadanziolide D"
"683","yadanziolide S"
"684","yadanzioside A"
"685","yadanzioside B"
"686","yadanzioside C"
"687","yadanzioside D"
"688","yadanzioside E"
"689","yadanzioside F"
"690","yadanzioside G"
"691","yadanzioside I"
"692","yadanzioside K"
"693","yadanzioside L"
"694","yadanzioside M"
"695","yadanzioside N"
"696","yadanzioside O"
"697","yadanzioside P"
"698","(+)-epipinoresinol"
"699","(+)-lyoniresinol"
"700","(+)-pinoresinol"
"701","(+)-syringaresinol"
"702","4,5-dihydroblumenol A"
"703","bruceine D"
"704","bruceolline E"
"705","bruceolline F"
"706","bruceolline H"
"707","bruceolline I"
"708","bruceolline J"
"709","bruceolline K"
"710","bruceolline L"
"711","bruceolline M"
"712","bruceolline N"
"713","cleomiscosin A"
"714","cleomiscosin B"
"715","indaquassin X"
"716","isobrucein B"
"717","yadanziolide B"
"718","yadanziolide T"
"719","yadanziolide U"
"720","yadanziolide V"
"721","acteoside"
"722","acteoside isomer"
"723","aucubin"
"724","beta-stiosterol"
"725","cis-caffeic acid"
"726","cryptomeridiol"
"727","daucosterol"
"728","galactilol"
"729","luteolin"
"730","luteolin-7-O-beta-D-glucoside"
"731","nonacosane"
"732","stigmasterol"
"733","trans-caffeic acid"
"734","vanillic acid"
"735","vanillin"
"736","(2E,9Z)-18-hydroxy-octadeca-2,9-diene-4,6-diyn-1-yl acetate"
"737","(2E,9Z)-1-hydroxy-octadeca-2,9-diene-4,6-diyn-18-yl acetate"
"738","(2E,9Z)-octadeca-2,9-diene-4,6-diyne-1,18-diol"
"739","(2R, 3S)-2-acetoxy-2,3-bis(3,4-dimethoxybenzyl)-gamma-butyrolactone"
"740","(2Z,8E,10E)-heptadeca-2,8,10-triene-4, 6-diyn-1-ol"
"741","(R,Z)-3-(3,4-dimethoxybenzyl)-2-(3, 4-dimethoxybenzylidene)-gamma-butyrolactone"
"742","1,10-di-epi-cubenol"
"743","allo-aromadendrene epoxide"
"744","cadalene"
"745","oleanolic acid glycoside 1"
"746","oleanolic acid glycoside 2"
"747","oleanolic acid glycoside 3"
"748","oleanolic acid glycoside 4"
"749","oleanolic acid glycoside 5"
"750","Sesquiterpene glycoside"
"751","(5'Z)-gamma-carotene"
"752","(5Z,9Z)-lycopene"
"753","(5'Z,9'Z)-rubixanthin"
"754","(5Z,9Z,5'Z,9'Z)-lycopene"
"755","(G)-rhamnosylrutinoside"
"756","3-glucoside of isorhamnetin"
"757","auroxanthin"
"758","beta-amyrin"
"759","beta-amyrin acetate"
"760","beta-carotene"
"761","caffeic acid"
"762","chlorogenic acid"
"763","faradiol laurate"
"764","faradiol myristate"
"765","faradiol palmitate"
"766","flavoxanthin"
"767","isoquercitrin"
"768","isorhamnetin 3- O-glucoside"
"769","lutein"
"770","narcissin"
"771","neohesperidoside"
"772","Oleanolic acid"
"773","p-coumaric acid"
"774","protokatechuic acid"
"775","quercetin"
"776","quercetin glucoside"
"777","rutin"
"778","rutinoside"
"779","sesquiterpene oligoglycoside"
"780","syringic acid"
"781","vanillic acid"
"782","5-hydroxy-4',3,6,7-tetramethoxy flavone"
"783","beta-sitosterol"
"784","betulinic acid"
"785","chrysoeriol-4'-O-glucoside"
"786","luteolin-4'-O-glucoside"
"787","luteolin-7-O-glucoside"
"788","ursolic acid"
"789","2alpha, 19alpha-dihydroxy-ursolic acid"
"790","2alpha, 3beta, 19alpha, 23-tetrahydroxy-olean-12-en-28-oic acid-28-O-beta-D-glucopyranosyl-(1 --> 4)-beta-D-glucopyranoside"
"791","2alpha, 3beta, 19alpha, 23-tetrahydroxy-urs-12-en-28-oic acid"
"792","2alpha-hydroxy-oleanolic acid"
"793","2alpha-hydroxy-ursolic acid"
"794","3-acetyl oleanolic acid"
"795","3beta-O-acetyl ursolic acid"
"796","alpha-amyrin-3-O-beta-D-glucopyranoside"
"797","arjungenin"
"798","betulinic acid"
"799","hederagenin"
"800","oleanolic acid"
"801","pomolic acid"
"802","pruvuloside A"
"803","ursolic acid"
"804","6-deoxy-gamma-mangostin"
"805","allanxanthone"
"806","apetalic acid"
"807","caledonic acid"
"808","caledonixanthone E"
"809","caledonixanthone M"
"810","caledonixanthones A"
"811","caledonixanthones B"
"812","caledonixanthones C"
"813","caledonixanthones D"
"814","caledonixanthones E"
"815","caledonixanthones F"
"816","calolongic acid"
"817","calothwaitesixanthone"
"818","calothwaitesixanthone"
"819","caloxanthone C"
"820","caloxanthone L"
"821","calozeyloxanthone"
"822","calozeyloxanthone"
"823","demethylcalabaxanthone"
"824","dombakinaxanthone"
"825","isoapetalic acid"
"826","isocalolongic acid"
"827","macluraxanthone"
"828","1, 3, 5-trihydroxy-2-methoxyxanthone"
"829","1, 5-dihydroxyxanthone"
"830","1, 7-dihydroxyxanthone"
"831","2-deprenylrheediaxanthone B"
"832","2-hydroxyxanthone"
"833","4-hydroxyxanthone"
"834","4-hydroxyxanthone"
"835","6-deoxyjacareubin"
"836","6-deoxyjacareubin"
"837","amentoflavone"
"838","betulinic acid"
"839","caloxanthone O"
"840","caloxanthone P"
"841","caloxanthone Q"
"842","friedelin"
"843","gerontoxanthone B"
"844","inophinnin"
"845","inophyllin A"
"846","inophyxanthone A"
"847","jacareubin"
"848","jacareubin"
"849","kaempferol-3-O-alpha-L-rhamnoside"
"850","macluraxanthone"
"851","pancixanthone A"
"852","pyranojacareubin"
"853","pyranojacareubin"
"854","quercetin-3-O-alpha-L-rhamnoside"
"855","stigmasterol"
"856","amentoflavone"
"857","apetalic acid"
"858","apigenin"
"859","calolongic acid"
"860","calophyllic acid"
"861","canophyllol"
"862","friedelin"
"863","isoapetalic acid"
"864","isocalophyllic acid"
"865","macluraxanthone"
"866","pinetoric acid I"
"867","pinetoric acid II"
"868","pinetoxanthone"
"869","brasixanthone B"
"870","brasixanthone B"
"871","caloxanthone B"
"872","caloxanthone C"
"873","caloxanthone C"
"874","friedelin"
"875","macluraxanthone"
"876","macluraxanthone"
"877","phylattrin"
"878","soulamarin"
"879","soulattrin"
"880","stigmasterol"
"881","stigmasterol"
"882","trapezifolixanthone"
"883","trapezifolixanthone"
"884","?-sitosterol"
"885","1,4,8-trihydroxyxanthone"
"886","1,7-dihydroxyxanthone"
"887","calothorexanthone"
"888","garbogiol"
"889","globuxanthone"
"890","?-tocotrienol"
"891","isorhamnetin-3-O-glucopyranoside"
"892","isorhamnetin-3-O-rutinoside"
"893","taraxasteryl acetate"
"894","alkaloids"
"895","flavonoids"
"896","Glucosinolates"
"897","6 beta-acetoxyisodrimenin"
"898","capsicodendrin"
"899","cinnamodial"
"900","cinnamosmolide"
"901","futronolide"
"902","ugandensolide"
"903","beta-amyrin palmitate"
"904","beta-sitosterol"
"905","luteolin-7-O-alpha-L-rhamanopyranosyl-(1-->2)-beta-D-glucopyranoside"
"906","luteolin-7-O-beta-D-glucopyranoside"
"907","stigmast-7-en-3 beta-ol"
"908","stigmasterol"
"909","taraxastery acetate"
"910","triacontanic acid"
"911","1-O-hexadecanolenin"
"912","apigenin"
