INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,INCHIKEY,SMILES,INCHI_STRING,MOLECULAR_FORMULA,MONOISOTOPIC_MASS,QC_LEVEL,EXPOCAST_MEDIAN_EXPOSURE_PREDICTION_MG/KG-BW/DAY,EXPOCAST,NHANES,TOXVAL_DATA,TOXCAST_PERCENT_ACTIVE,TOXCAST_NUMBER_OF_ASSAYS/TOTAL,MS_READY_SMILES,QSAR_READY_SMILES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT,IRIS_LINK,PPRTV_LINK,WIKIPEDIA_ARTICLE,QC_NOTES,ACTOR_REPORT,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",C29H50O,414.3861662,DSSTox_Low,7.23E-07,Y,-,Y,0.0,0/82,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,2175,162,-,-,-,Y,-,Y,785.236,408.379,9.18333E-07,0.899,0.963,1.40281E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06196E-08,1.38676E-07,3.10916E-11,729.105,256.191,390.842,4.77227E-08,13.739,10.3464,58813.2,9.22714,143.458,1.88174E-08,2.91967E-06
FBUBVLUPUDBFME-UHFFFAOYSA-N,InChIKey,DTXSID10237981,Xanthoxyline,FBUBVLUPUDBFME-UHFFFAOYSA-N,COC1=CC(O)=C(C(C)=O)C(OC)=C1,"InChI=1S/C10H12O4/c1-6(11)10-8(12)4-7(13-2)5-9(10)14-3/h4-5,12H,1-3H3",C10H12O4,196.0735589,Public_Medium,4.65E-06,Y,-,Y,-,-,COC1=CC(O)=C(C(C)=O)C(OC)=C1,COC1=CC(O)=C(C(C)=O)C(OC)=C1,18,137,-,-,-,Y,Loaded based on no conflicts with this data in chemid and pubchem,Y,5.188,301.686,7.76247E-05,1.158,0.505,0.000243781,126.833,67.535,0.432,-,-,153.451,0.000516416,8.87156,0.000160325,0.0147571,1.73118E-11,16.6856,4.9088,267.201,1.77683E-09,0.104571,8.55388,119.644,1.40791,81.9002,4.52794E-06,0.00947283
NPJICTMALKLTFW-OFUAXYCQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RHMXXJGYXNZAPX-UHFFFAOYSA-N,InChIKey,DTXSID5025231,Emodin,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1,"InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3",C15H10O5,270.0528234,DSSTox_Low,1.58E-06,Y,-,Y,30.3,123/406,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1,999,252,-,-,-,Y,-,Y,14.1906,430.427,1.75792E-05,1.584,0.804,3.4914E-06,281.213,253.196,0.868,0.00430527,-,-,5.92925E-05,-,3.60579E-11,1.02565E-05,1.38378E-11,44.1797,44.5826,388.582,1.7692E-10,0.152879,9.24734,645.846,2.59042,256.995,8.34167E-10,2.00779E-05
LNTHITQWFMADLM-UHFFFAOYSA-N,InChIKey,DTXSID0020650,Gallic acid,LNTHITQWFMADLM-UHFFFAOYSA-N,OC(=O)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",C7H6O5,170.0215233,DSSTox_Low,2.66E-07,Y,-,Y,19.57,46/235,OC(=O)C1=CC(O)=C(O)C(O)=C1,OC(=O)C1=CC(O)=C(O)C(O)=C1,3082,237,9,-,-,Y,-,Y,0.516416,340.003,0.000337287,1.621,0.319,0.000451856,219.763,234.958,0.143,0.0164059,-,-,0.00184502,-,2.54097E-07,0.0756833,3.67045E-12,4.82766,11.4824,304.082,4.22937E-11,0.10897,8.18129,58.9846,0.69942,186.569,3.4417E-09,0.069363
XEVQXKKKAVVSMW-WRWORJQWSA-N,InChIKey,DTXSID501019112,Loliolide,XEVQXKKKAVVSMW-WRWORJQWSA-N,C[C@@]12C[C@@H](O)CC(C)(C)C1=CC(=O)O2,"InChI=1S/C11H16O3/c1-10(2)5-7(12)6-11(3)8(10)4-9(13)14-11/h4,7,12H,5-6H2,1-3H3/t7-,11+/m0/s1",C11H16O3,196.1099444,Public_Medium,-,-,-,-,-,-,CC12CC(O)CC(C)(C)C1=CC(=O)O2,CC12CC(O)CC(C)(C)C1=CC(=O)O2,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.69948E-11,2.91575,3.54154,293.341,8.69939E-10,0.356997,8.78264,196.137,0.747983,70.7562,7.67343E-06,0.396112
PVNIIMVLHYAWGP-UHFFFAOYSA-N,InChIKey,DTXSID1020932,Nicotinic acid,PVNIIMVLHYAWGP-UHFFFAOYSA-N,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",C6H5NO2,123.0320284,DSSTox_High,6.13E-05,Y,-,Y,1.03,9/875,OC(=O)C1=CC=CN=C1,OC(=O)C1=CC=CN=C1,10405,401,2,-,-,Y,-,Y,1.04954,270.082,0.0016788,1.313,0.331,0.00270396,131.368,112.706,-0.032,0.0104954,-,-,0.0097051,-,0.000467735,0.177419,1.55697E-11,4.12211,3.55028,255.833,9.18176E-09,0.262795,5.99479,76.025,0.357954,236.735,0.000779549,0.141828
YQUVCSBJEUQKSH-UHFFFAOYSA-N,InChIKey,DTXSID4021212,"3,4-Dihydroxybenzoic acid",YQUVCSBJEUQKSH-UHFFFAOYSA-N,OC(=O)C1=CC(O)=C(O)C=C1,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",C7H6O4,154.0266087,DSSTox_Low,8.33E-07,Y,-,Y,0.0,0/235,OC(=O)C1=CC(O)=C(O)C=C1,OC(=O)C1=CC(O)=C(O)C=C1,593,218,-,-,-,Y,-,Y,1.05196,312.949,0.000327341,1.519,0.46,0.000542001,199.12,210.327,0.148,0.0136773,-,-,0.00377572,-,3.0761E-06,0.0716143,3.67455E-12,5.37821,4.9147,239.449,1.18978E-10,0.109247,7.89129,51.3424,0.860561,157.178,9.9258E-06,0.0491093
IKGXIBQEEMLURG-NVPNHPEKSA-N,InChIKey,DTXSID3022326,Rutin,IKGXIBQEEMLURG-NVPNHPEKSA-N,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1",C27H30O16,610.1533849,DSSTox_High,9.33E-07,Y,-,Y,9.79,23/235,CC1OC(OCC2OC(OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)C(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OC(OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)C(O)C(O)C2O)C(O)C(O)C1O,2841,146,1,-,-,-,-,Y,-,803.95,9.07821E-05,1.956,0.717,-,412.333,273.347,0.029,0.00537032,-,-,-,-,1.37088E-17,0.0180717,2.50746E-11,3.8939,146.539,371.601,1.98072E-11,0.451518,9.60073,984.979,-0.134141,224.017,2.24773E-09,0.0333593
KDYFGRWQOYBRFD-UHFFFAOYSA-N,InChIKey,DTXSID6023602,Butanedioic acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,OC(=O)CCC(O)=O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",C4H6O4,118.0266087,DSSTox_Low,1.79E-06,Y,-,Y,0.23,1/429,OC(=O)CCC(O)=O,OC(=O)CCC(O)=O,3198,594,150,-,-,Y,-,Y,0.299916,279.143,0.00218273,1.39,0.771,0.002208,156.05,134.428,0.095,0.0262422,31.197,164.183,0.00977237,6.35331,2.98538E-05,0.72277,2.54629E-12,3.89367,5.96871,316.541,8.84113E-09,0.123462,7.21213,19.4164,-0.589688,187.731,1.94964E-07,0.9167
CWONGSUNXBJOMK-LRWUGFCWSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RKJINRNUBWMUAP-MUODCDDXSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JYQWZASHCQTVLM-AQYGZFFOSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IXWXQMCMUKDVFM-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WPPVSYVQAKQNJK-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NGIKFWJEQGLTBM-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JWGLVEFPXSKNBN-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CSMMFGCGBLZIJE-BQYQJAHWSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WEEGYLXZBRQIMU-UHFFFAOYSA-N,InChIKey,DTXSID4020616,"1,8-Cineol",WEEGYLXZBRQIMU-UHFFFAOYSA-N,CC12CCC(CC1)C(C)(C)O2,"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3",C10H18O,154.1357652,DSSTox_Low,3.08E-05,Y,-,Y,0.47,2/430,CC12CCC(CC1)C(C)(C)O2,CC12CCC(CC1)C(C)(C)O2,534,211,25,-,-,Y,-,Y,59.9791,181.884,0.000166341,0.88,0.632,0.000805378,49.312,11.564,0.113,0.0053827,27.55,109.58,0.000776247,2.90402,1.00462,0.00818465,1.11557E-11,29.9881,110.298,174.978,0.00252879,0.378012,4.43154,2006.15,2.62304,1.51745,1.89823,0.0108454
KGEKLUUHTZCSIP-UHFFFAOYSA-N,Indigo InChIKey,DTXSID80859098,"acetic acid, 1,7,7-trimethyl-bicyclo[2.2.1]hept-2-yl ester",KGEKLUUHTZCSIP-UHFFFAOYSA-N,[H]C12CCC(C)(C(C1)OC(C)=O)C2(C)C,"InChI=1/C12H20O2/c1-8(13)14-10-7-9-5-6-12(10,4)11(9,2)3/h9-10H,5-7H2,1-4H3",C12H20O2,196.1463299,DSSTox_Low,-,-,-,-,-,-,[H]C12CCC(C)(C(C1)OC(C)=O)C2(C)C,[H]C12CCC(C)(C(C1)OC(C)=O)C2(C)C,-,-,4,-,-,-,-,Y,66.2216,221.153,1.11429E-05,0.959,0.715,0.000203236,89.527,52.987,0.028,0.0154525,30.558,116.092,0.000276058,8.10961,0.0583445,0.0022751,1.38983E-11,41.3385,4.49535,221.045,0.00051587,0.281705,5.87223,400.344,4.29922,29.1519,0.226286,0.000190496
DSSYKIVIOFKYAU-UHFFFAOYSA-N,Indigo InChIKey,DTXSID5030955,Camphor,DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC1(C)C2CCC1(C)C(=O)C2,"InChI=1/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3",C10H16O,152.1201151,DSSTox_High,1.27E-06,Y,-,Y,0.43,1/235,CC1(C)C2CCC1(C)C(=O)C2,CC1(C)C2CCC1(C)C(=O)C2,1649,185,497,-,-,Y,-,Y,55.7186,203.784,0.000118032,0.963,0.94,0.000677641,65.146,140.676,-0.018,0.00988553,32.681,118.555,0.000545758,1.34896,0.214289,0.0111944,1.79482E-11,18.0232,5.39513,199.57,0.000079075,0.081715,4.84625,1852.03,2.38432,153.56,0.650118,0.00572767
IECBDTGWSQNQID-UHFFFAOYSA-N,Indigo InChIKey,DTXSID80894868,Chrysanthenone,IECBDTGWSQNQID-UHFFFAOYSA-N,CC1=CCC2C(=O)C1C2(C)C,"InChI=1/C10H14O/c1-6-4-5-7-9(11)8(6)10(7,2)3/h4,7-8H,5H2,1-3H3",C10H14O,150.1044651,DSSTox_High,-,-,-,-,-,-,CC1=CCC2C(=O)C1C2(C)C,CC1=CCC2C(=O)C1C2(C)C,-,-,-,-,-,Y,-,Y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.11818E-10,16.0995,5.27049,230.312,4.50352E-05,0.0932073,4.97866,1050.3,2.62492,13.0237,0.631707,0.0123125
IRZWAJHUWGZMMT-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MDFQXBNVOAKNAY-BBBLOLIVSA-N,InChIKey,DTXSID90883208,"(1S,3R,5S)-4-Methylene-1-(1-methylethyl)bicyclo[3.1.0]hexan-3-ol",MDFQXBNVOAKNAY-BBBLOLIVSA-N,CC(C)[C@@]12C[C@@H]1C(=C)[C@H](O)C2,"InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6,8-9,11H,3-5H2,1-2H3/t8-,9-,10+/m1/s1",C10H16O,152.1201151,DSSTox_High,-,-,-,-,-,-,CC(C)C12CC1C(=C)C(O)C2,CC(C)C12CC1C(=C)C(O)C2,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.29733E-11,15.4217,4.01451,208.111,2.65536E-06,0.0797218,6.70479,1024.21,3.01509,108.29,0.0399385,0.0102299
WRYLYDPHFGVWKC-UHFFFAOYSA-N,Indigo InChIKey,DTXSID4044824,4-Methyl-1-(propan-2-yl)cyclohex-3-en-1-ol,WRYLYDPHFGVWKC-UHFFFAOYSA-N,CC(C)C1(O)CCC(C)=CC1,"InChI=1/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3",C10H18O,154.1357652,DSSTox_Low,2.28E-05,Y,-,Y,1.24,5/403,CC(C)C1(O)CCC(C)=CC1,CC(C)C1(O)CCC(C)=CC1,98,100,6,-,-,Y,-,Y,13.5831,223.378,0.000191867,0.925,0.88,0.00012106,87.254,63.211,0.002,0.0126183,30.544,131.079,0.00135207,6.98232,0.069024,0.00877001,7.98965E-11,9.25537,2.97453,209.145,2.86011E-06,0.109826,7.15546,268.23,3.25777,47.309,0.0351017,0.0114515
WEEGYLXZBRQIMU-UHFFFAOYSA-N,InChIKey,DTXSID4020616,"1,8-Cineol",WEEGYLXZBRQIMU-UHFFFAOYSA-N,CC12CCC(CC1)C(C)(C)O2,"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3",C10H18O,154.1357652,DSSTox_Low,3.08E-05,Y,-,Y,0.47,2/430,CC12CCC(CC1)C(C)(C)O2,CC12CCC(CC1)C(C)(C)O2,534,211,25,-,-,Y,-,Y,59.9791,181.884,0.000166341,0.88,0.632,0.000805378,49.312,11.564,0.113,0.0053827,27.55,109.58,0.000776247,2.90402,1.00462,0.00818465,1.11557E-11,29.9881,110.298,174.978,0.00252879,0.378012,4.43154,2006.15,2.62304,1.51745,1.89823,0.0108454
